Word;Coefficient
north korea link;-1,22885043794
thing know thursday;2,42020466158
bitcoin hit record;-1,15242994628
worst week sinc;2,21087406283
bitcoin surg past;-1,09457051548
top news est sourc;1,91234229372
thing know today;-1,07948914355
final trade day;1,77211631232
new record high;-0,946982700983
head worst week sinc;1,62771910672
hit new record;-0,93962647508
bitcoin fall percent;1,62279363072
new time high;-0,936829890631
facebook ban ad;1,52375630592
wannacri ransomwar attack;-0,862610343569
wall street slip;1,51233153789
hit time high;-0,773506994873
bitcoin take tumbl;1,4808268106
china central bank;-0,760017327523
us tax reform;1,45827803854
