Word;Coefficient;Target
c__ c_breitwoman;-14,998643209104328;High
c_financialbuzz c_com;-13,752017485802464;High
c__ c_breitwoman c_januari;-14,998643209104328;High
c_darknet c_market;-13,76512453347949;High
c__ c_breitwoman c_septemb;-14,998643209104328;High
c_dimon c_said;-13,782162301965442;High
c__ c_cannabis_cultur;-14,998643209104328;High
c_prosecutor c_said;-13,802126838197312;High
c__ c_cannabis_cultur c_investoridea;-14,998643209104328;High
c_marshal c_island;-13,882758851927814;High
c__ c_chicago;-14,998643209104328;High
c_game c_throne;-13,965653828691435;High
c__ c_chicago c_mercantil;-14,998643209104328;High
c_mr c_wright;-13,974920650578918;High
c__ c_cryptocurr;-14,998643209104328;High
c_cent c_percent;-13,98863718949897;High
c__ c_cryptocurr c_thefuturea;-14,998643209104328;High
c_e c_doc;-14,003868311940725;High
c__ c_dismay;-14,998643209104328;High
c_dark c_net;-14,015512221144022;High
c__ c_dismay c__;-14,998643209104328;High
c_bitcoin c_creator;-14,033015364774355;High
c__ c_dorian;-14,998643209104328;High
c_palo c_alto;-14,089029928116172;High
c__ c_dorian c_nakamoto;-14,998643209104328;High
c_legend c_room;-14,106563582513209;High
c__ c_earli;-14,998643209104328;High
c_john c_mcafe;-14,124793113109188;High
c__ c_earli c_white;-14,998643209104328;High
c_terror c_financ;-14,141171624570756;High
c__ c_aggreg;-14,9990428738866;Highest
c____ c_p;-13,665406147931241;Highest
c__ c_aggreg c_aggreg;-14,9990428738866;Highest
c_financialbuzz c_com;-13,678723901437928;Highest
c__ c_along;-14,9990428738866;Highest
c_nhs c_digit;-13,750957724666357;Highest
c__ c_along c_support;-14,9990428738866;Highest
c_game c_throne;-13,792754959269491;Highest
c__ c_breitwoman;-14,9990428738866;Highest
c_carney c_said;-13,991995884793365;Highest
c__ c_breitwoman c_januari;-14,9990428738866;Highest
t_busi t_news;-13,992329290835036;Highest
c__ c_breitwoman c_septemb;-14,9990428738866;Highest
t_bitcoin t_hit;-14,021891734406028;Highest
c__ c_check;-14,9990428738866;Highest
c_bitcoin c_ira;-14,042873044583704;Highest
c__ c_check c_link;-14,9990428738866;Highest
c_fed c_rate;-14,043046127177185;Highest
c__ c_chicago;-14,9990428738866;Highest
c_hospit c_across;-14,069087251758456;Highest
c__ c_chicago c_mercantil;-14,9990428738866;Highest
t_top t_busi t_news;-14,073581804302016;Highest
c__ c_compani;-14,9990428738866;Highest
t_top t_busi;-14,073581804302016;Highest
c__ c_compani c_gocopyright;-14,9990428738866;Highest
t_ap t_top t_busi;-14,073581804302016;Highest
c__ c_cryptocurr;-14,9990428738866;Highest
c_look c_inform;-14,110020192617263;Highest
c__ c_cryptocurr c_thefuturea;-14,9990428738866;Highest
c_block c_size;-14,12560523358385;Highest
c__ c_aggreg;-14,995784123975373;Low
c_btc c_e;-13,997090396198255;Low
c__ c_aggreg c_aggreg;-14,995784123975373;Low
c_forward c_look c_inform;-14,03906325584193;Low
c__ c_along;-14,995784123975373;Low
c_look c_inform;-14,040493329640523;Low
c__ c_along c_support;-14,995784123975373;Low
c_dark c_net;-14,046514445018666;Low
c__ c_also;-14,995784123975373;Low
c_pirat c_caribbean;-14,056798165613657;Low
c__ c_also c_come;-14,995784123975373;Low
c_index c_fell c_percent;-14,089682186038964;Low
c__ c_cannabis_cultur;-14,995784123975373;Low
c_trade c_financ;-14,191044096290595;Low
c__ c_cannabis_cultur c_investoridea;-14,995784123975373;Low
c_triforc c_token;-14,191276029909874;Low
c__ c_check;-14,995784123975373;Low
c_per c_person;-14,20579715579856;Low
c__ c_check c_link;-14,995784123975373;Low
c_global c_blockchain;-14,208223310478344;Low
c__ c_chicago;-14,995784123975373;Low
c_tell c_tale;-14,20831399201405;Low
c__ c_chicago c_mercantil;-14,995784123975373;Low
c_korean c_hacker;-14,222126282095942;Low
c__ c_compani;-14,995784123975373;Low
c_lazarus c_group;-14,225363391075259;Low
c__ c_compani c_gocopyright;-14,995784123975373;Low
c_men c_tell c_tale;-14,22559618754487;Low
c__ c_countri;-14,995784123975373;Low
c_men c_tell;-14,22559618754487;Low
c__ c_aggreg;-14,994872906170222;Lowest
c_financialbuzz c_com;-13,790763898582702;Lowest
c__ c_aggreg c_aggreg;-14,994872906170222;Lowest
c_ice c_tea;-13,877571564673223;Lowest
c__ c_along;-14,994872906170222;Lowest
c_lloyd c_bank;-13,971917530551487;Lowest
c__ c_along c_support;-14,994872906170222;Lowest
c_fell c_low;-14,01724783965171;Lowest
c__ c_also;-14,994872906170222;Lowest
c_long c_blockchain;-14,03244677350134;Lowest
c__ c_also c_come;-14,994872906170222;Lowest
c_nhs c_trust;-14,042413960719365;Lowest
c__ c_breitwoman;-14,994872906170222;Lowest
c_island c_ice c_tea;-14,060635697145763;Lowest
c__ c_breitwoman c_januari;-14,994872906170222;Lowest
c_island c_ice;-14,060635697145763;Lowest
c__ c_breitwoman c_septemb;-14,994872906170222;Lowest
c_regulatori c_clampdown;-14,063269594246263;Lowest
c__ c_cannabis_cultur;-14,994872906170222;Lowest
c_long c_island c_ice;-14,07275334082413;Lowest
c__ c_cannabis_cultur c_investoridea;-14,994872906170222;Lowest
c_long c_island;-14,081027219172793;Lowest
