Word;Coefficient;Target
<<<<<<< HEAD
c__ c_also;-15,011189462758981;High
c_prosecutor c_said;-13,865647740542286;High
c__ c_also c_come;-15,011189462758981;High
c_cent c_percent;-13,942324155183176;High
c__ c_although;-15,011189462758981;High
c_bitcoin c_ira;-13,98256802268358;High
c__ c_although c_play;-15,011189462758981;High
c_dimon c_said;-13,988480270052449;High
c__ c_among;-15,011189462758981;High
c_dr c_wright;-13,994617162583422;High
c__ c_among c_australia;-15,011189462758981;High
c_legend c_room;-13,99561549730512;High
c__ c_aspx;-15,011189462758981;High
c_clinton c_campaign;-14,088990698344146;High
c__ c_aspx c_eastern;-15,011189462758981;High
c_fanci c_bear;-14,097776663174717;High
c__ c_breitwoman;-15,011189462758981;High
c_percent c_close;-14,12298932239267;High
c__ c_breitwoman c_januari;-15,011189462758981;High
c_brian c_kelli;-14,130903450555982;High
c__ c_breitwoman c_septemb;-15,011189462758981;High
c_fund c_round;-14,1652898277104;High
c__ c_collect;-15,011189462758981;High
c_financialbuzz c_com;-14,167139421173044;High
c__ c_collect c_trillion;-15,011189462758981;High
c_bitfinex c_said;-14,172323043648726;High
c__ c_countri;-15,011189462758981;High
c_actual c_bitcoin;-14,175792281011066;High
c__ c_countri c_unit;-15,011189462758981;High
c_cannon c_brook;-14,179848904282608;High
c__ c_address;-15,010259826426958;Highest
c_financialbuzz c_com;-13,433025434490173;Highest
c__ c_address c_said;-15,010259826426958;Highest
c_window c__taboola;-13,888339080566526;Highest
c__ c_check;-15,010259826426958;Highest
c_bitcoin c_ira;-13,955419341774787;Highest
c__ c_check c_link;-15,010259826426958;Highest
c_game c_throne;-13,981110699265711;Highest
c__ c_collect;-15,010259826426958;Highest
c_bitcoin c_invest c_trust;-14,004346109809234;Highest
c__ c_collect c_trillion;-15,010259826426958;Highest
c_black c_death;-14,024023488770755;Highest
c__ c_cryptocurr;-15,010259826426958;Highest
c_articl c_thumbnail;-14,024717642262988;Highest
c__ c_cryptocurr c_thefuturea;-15,010259826426958;Highest
c_carney c_said;-14,029396022201038;Highest
c__ c_curios;-15,010259826426958;Highest
c_nhs c_digit;-14,044009092262977;Highest
c__ c_curios c_first;-15,010259826426958;Highest
c_wan c_na;-14,04517213525069;Highest
c__ c_current;-15,010259826426958;Highest
c_keiser c_report;-14,104109139099526;Highest
c__ c_current c_contract;-15,010259826426958;Highest
c_nhs c_trust;-14,125683375475798;Highest
c__ c_current c_difficult;-15,010259826426958;Highest
c_dr c_low;-14,13749855262565;Highest
